"","row","max_row","tournamentNumber","seasonYear","courseNumber","roundNumber","holeNumber","groupId","playerId","shotNumber","kind","timeInterval","validTimeInterval","measuredTimeInterval","xFit","yFit","zFit","spinRateFit"
"132",2,5,"047","2021","538",1,12,1,"46441",1,"Flight",2.552,3.108,2.667112,72.3059,12.3642,-3.86305,630.096
"133",3,5,"047","2021","538",1,12,1,"46441",1,"Flight",3.828,4.662,4.000668,-10.9071,-0.379872,-0.037631,-481.283
"134",4,5,"047","2021","538",1,12,1,"46441",1,"Flight",5.104,6.216,5.334224,1.78879,-0.410792,0.0224994,111.858
"135",5,5,"047","2021","538",1,12,1,"46441",1,"Flight",6.38,7.77,6.66778,-0.23182,0.0335098,-0.00248446,-7.48211
"136",1,5,"047","2021","538",1,13,1,"29461",1,"Flight",0,0,0,0.240775,1.14228e-15,0.390622,211.52
"137",2,5,"047","2021","538",1,13,1,"29461",1,"Flight",2.896,3.42,2.352724,76.4545,17.1238,-6.86345,-822.017
"138",3,5,"047","2021","538",1,13,1,"29461",1,"Flight",4.344,5.13,3.529086,-12.7691,-0.798438,-0.213736,381.352
"139",4,5,"047","2021","538",1,13,1,"29461",1,"Flight",5.792,6.84,4.705448,2.1518,-0.491985,0.10303,-40.7011
"140",5,5,"047","2021","538",1,13,1,"29461",1,"Flight",7.24,8.55,5.88181,-0.261418,0.0525424,-0.0184781,1.0862
"141",1,5,"047","2021","538",1,13,1,"31560",1,"Flight",0,0,0,-2.08785,1.02401e-15,0.938823,-4.16367
"142",2,5,"047","2021","538",1,13,1,"31560",1,"Flight",2.204,2.784,2.165792,70.5708,14.6253,9.77385,196.77
"143",3,5,"047","2021","538",1,13,1,"31560",1,"Flight",3.306,4.176,3.248688,-10.2625,-1.99595,-4.3797,-257.082
"144",4,5,"047","2021","538",1,13,1,"31560",1,"Flight",4.408,5.568,4.331584,1.76318,-0.150826,1.01429,85.083
"145",5,5,"047","2021","538",1,13,1,"31560",1,"Flight",5.51,6.96,5.41448,-0.249972,-0.00699777,-0.172694,-7.19559
"146",1,5,"047","2021","538",1,13,1,"46441",1,"Flight",0,0,0,-0.644716,-5.27184e-15,1.30392,-143.094
"147",2,5,"047","2021","538",1,13,1,"46441",1,"Flight",2.904,3.384,2.888364,74.1925,19.1257,-2.54063,625.363
"148",3,5,"047","2021","538",1,13,1,"46441",1,"Flight",4.356,5.076,4.332546,-12.0949,-1.53557,1.80233,-422.444
"149",4,5,"047","2021","538",1,13,1,"46441",1,"Flight",5.808,6.768,5.776728,2.08605,-0.38638,-0.390481,87.3018
"150",5,5,"047","2021","538",1,13,1,"46441",1,"Flight",7.26,8.46,7.22091,-0.266258,0.0566715,0.0565801,-5.23672
"151",1,5,"047","2021","538",1,14,1,"29461",1,"Flight",0,0,0,-0.748394,1.64265e-15,0.536321,-1.39577
"152",2,5,"047","2021","538",1,14,1,"29461",1,"Flight",2.68,3.156,2.76372,52.6752,17.5108,1.86719,6.31033
"153",3,5,"047","2021","538",1,14,1,"29461",1,"Flight",4.02,4.734,4.14558,-12.3451,0.343593,-0.697345,-4.45296
"154",4,5,"047","2021","538",1,14,1,"29461",1,"Flight",5.36,6.312,5.52744,2.39691,-1.24137,0.165638,0.965543
"155",5,5,"047","2021","538",1,14,1,"29461",1,"Flight",6.7,7.89,6.9093,-0.299256,0.193292,-0.0236772,-0.0610205
"156",1,5,"047","2021","538",1,14,1,"31560",1,"Flight",0,0,0,-0.768326,5.78999e-15,1.65153,-1173.11
"157",2,5,"047","2021","538",1,14,1,"31560",1,"Flight",2.448,3.012,2.522252,49.2228,16.4631,7.48404,6990.04
"158",3,5,"047","2021","538",1,14,1,"31560",1,"Flight",3.672,4.518,3.783378,-10.6141,-0.236639,-3.14721,-5879.95
"159",4,5,"047","2021","538",1,14,1,"31560",1,"Flight",4.896,6.024,5.044504,2.0906,-0.927246,0.833675,1471.82
"160",5,5,"047","2021","538",1,14,1,"31560",1,"Flight",6.12,7.53,6.30563,-0.273842,0.11146,-0.135961,-104.233
"161",1,5,"047","2021","538",1,14,1,"46441",1,"Flight",0,0,0,-1.34427,-4.2347e-15,1.50077,-1.31
"162",2,5,"047","2021","538",1,14,1,"46441",1,"Flight",2.624,3.092,2.703044,48.852,19.3167,1.83481,6.15095
"163",3,5,"047","2021","538",1,14,1,"46441",1,"Flight",3.936,4.638,4.054566,-11.2467,-0.0859435,0.127845,-4.5375
"164",4,5,"047","2021","538",1,14,1,"46441",1,"Flight",5.248,6.184,5.406088,2.21217,-1.37539,-0.0990762,1.02652
"165",5,5,"047","2021","538",1,14,1,"46441",1,"Flight",6.56,7.73,6.75761,-0.280157,0.248687,0.0209554,-0.0673914
"166",1,5,"047","2021","538",1,15,1,"29461",1,"Flight",0,0,0,-0.112805,1.9759e-15,1.33583,-9.08758
"167",2,5,"047","2021","538",1,15,1,"29461",1,"Flight",3.016,3.432,2.950736,76.4733,18.728,-8.98491,39.1102
"168",3,5,"047","2021","538",1,15,1,"29461",1,"Flight",4.524,5.148,4.426104,-12.6776,-0.536131,2.12769,-26.1652
"169",4,5,"047","2021","538",1,15,1,"29461",1,"Flight",6.032,6.864,5.901472,1.98219,-0.434642,-0.36229,5.3574
"170",5,5,"047","2021","538",1,15,1,"29461",1,"Flight",7.54,8.58,7.37684,-0.213546,0.0240097,0.0402419,-0.317695
"171",1,5,"047","2021","538",1,15,1,"31560",1,"Flight",0,0,0,-1.98639,-2.00958e-15,-1.45377,-6.20573
"172",2,5,"047","2021","538",1,15,1,"31560",1,"Flight",2.648,3.116,2.611836,70.967,16.5808,-2.35694,35.0728
"173",3,5,"047","2021","538",1,15,1,"31560",1,"Flight",3.972,4.674,3.917754,-11.0027,-1.59961,0.566779,-28.1041
"174",4,5,"047","2021","538",1,15,1,"31560",1,"Flight",5.296,6.232,5.223672,1.81288,-0.00785463,-0.108997,6.74466
"175",5,5,"047","2021","538",1,15,1,"31560",1,"Flight",6.62,7.79,6.52959,-0.224224,-0.0560369,0.0152629,-0.4596
"176",1,5,"047","2021","538",1,15,1,"46441",1,"Flight",0,0,0,-0.0784633,1.29917e-15,0.851927,63.5611
"177",2,5,"047","2021","538",1,15,1,"46441",1,"Flight",2.74,3.272,2.479828,73.8795,18.3659,-7.40646,-60.6531
"178",3,5,"047","2021","538",1,15,1,"46441",1,"Flight",4.11,4.908,3.719742,-11.3672,-2.2128,2.39367,-91.5735
"179",4,5,"047","2021","538",1,15,1,"46441",1,"Flight",5.48,6.544,4.959656,1.93646,-0.00630419,-0.457221,45.1298
"180",5,5,"047","2021","538",1,15,1,"46441",1,"Flight",6.85,8.18,6.19957,-0.23701,-0.0401834,0.0632617,-3.80994
"181",1,5,"047","2021","538",1,16,1,"29461",1,"Flight",0,0,0,0.34953,-2.70316e-15,0.191568,179.396
